Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
819;1;0;0;0;0;0;1
820;1;1;0;0;0;0;1
821;1;1;0;0;0;0;1
822;1;1;0;0;0;0;1
823;1;1;0;0;0;0;2
824;1;1;0;0;0;0;2
825;1;1;0;0;0;0;1
826;0;1;0;0;0;0;0
827;0;1;0;0;0;0;0
828;0;1;0;0;0;0;0
829;0;1;0;0;0;0;0
830;0;1;0;0;0;0;0
831;0;1;0;0;0;0;0
832;0;1;0;0;0;0;0
833;0;1;0;0;0;0;0
834;0;0;0;0;0;0;0
835;0;0;0;0;0;0;0
836;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0
838;0;0;0;0;0;0;0
839;0;0;0;0;0;0;0
840;0;0;0;0;0;0;0
841;1;1;0;0;0;0;1
842;1;1;0;0;0;0;1
843;1;1;0;0;0;0;1
844;0;1;0;0;0;0;0
845;0;1;0;0;0;0;0
846;0;1;0;0;0;0;0
847;0;1;0;0;0;0;0
848;1;1;0;0;0;0;1
849;1;1;0;0;0;0;2
850;1;1;0;0;0;0;2
